date,adjClose,adjHigh,adjLow,adjVolume
1995-11-24,32.5,32.75,26.88,4566600
1995-12-01,27.75,33.0,25.63,1275800
1995-12-08,25.63,27.88,24.13,549100
1995-12-15,24.75,27.13,24.75,380400
1995-12-22,22.63,25.0,22.25,391000
1995-12-29,23.75,23.88,21.5,533500
1996-01-05,24.75,25.5,23.25,188500
1996-01-12,23.5,24.75,23.5,182300
1996-01-19,21.875,23.5,21.875,182200
1996-01-26,21.5,22.75,20.875,234300
1996-02-02,21.25,21.625,21.0,103300
1996-02-09,18.375,21.25,17.375,402400
1996-02-16,21.375,22.75,20.0,500800
1996-02-23,21.375,22.25,21.0,113300
1996-03-01,21.875,23.25,21.25,269500
1996-03-08,20.625,21.875,20.5,137400
1996-03-15,19.0,20.625,18.75,352100
1996-03-22,20.125,20.25,19.0,349600
1996-03-29,19.125,20.625,19.0,178300
1996-04-05,20.25,20.875,19.125,81300
1996-04-12,19.0,20.375,19.0,147300
1996-04-19,19.375,19.625,18.875,215800
1996-04-26,19.0,20.875,18.75,834400
1996-05-03,19.125,19.5,18.75,290600
1996-05-10,19.0,19.125,18.625,114200
1996-05-17,18.5,19.25,18.5,256000
1996-05-24,18.625,19.0,18.0,292400
1996-05-31,18.5,18.875,18.5,179200
1996-06-07,19.125,19.25,18.5,315200
1996-06-14,19.375,19.375,18.125,547400
1996-06-21,20.375,20.5,19.375,254500
1996-06-28,22.5,23.0,20.375,575300
1996-07-05,23.75,24.0,22.5,247800
1996-07-12,22.5,23.75,22.0,211000
1996-07-19,20.5,22.5,19.125,217700
1996-07-26,22.5,23.0,20.375,392400
1996-08-02,22.125,22.75,22.0,193300
1996-08-09,22.25,23.125,22.0,129100
1996-08-16,21.5,22.25,21.5,55300
1996-08-23,20.75,21.75,20.625,41100
1996-08-30,21.25,21.25,20.75,31700
1996-09-06,20.375,21.25,20.25,53500
1996-09-13,20.125,21.25,20.0,59700
1996-09-20,19.0,20.125,18.75,124300
1996-09-27,19.0,19.5,18.875,75500
1996-10-04,19.75,20.625,19.0,101900
1996-10-11,20.0,20.375,19.375,177300
1996-10-18,18.5,20.0,18.375,272400
1996-10-25,12.5,18.5,12.5,1384200
1996-11-01,12.5,12.875,12.125,219200
1996-11-08,11.75,12.5,11.25,228000
1996-11-15,11.75,12.125,11.375,142900
1996-11-22,12.0,12.125,11.375,96300
1996-11-29,11.5,12.0,11.375,139700
1996-12-06,11.5,11.5,11.5,265000
1996-12-13,11.5,11.5,11.5,226400
1996-12-20,11.5,11.5,11.5,220600
1996-12-27,11.5,11.5,11.5,273700
1997-01-03,10.88,11.5,10.25,301200
1997-01-10,10.13,10.88,10.0,115700
1997-01-17,9.75,10.13,9.75,108500
1997-01-24,10.13,10.13,8.625,294100
1997-01-31,10.38,10.63,9.875,139000
1997-02-07,10.38,10.5,10.13,70500
1997-02-14,9.875,10.38,9.875,51900
1997-02-21,9.625,10.0,9.375,114400
1997-02-28,9.25,10.0,9.0,169800
1997-03-07,9.125,9.25,8.875,119600
1997-03-14,8.625,9.125,8.375,130700
1997-03-21,8.375,8.75,8.0,163600
1997-03-28,8.25,8.5,8.25,111700
1997-04-04,9.375,9.5,8.125,182100
1997-04-11,9.625,10.0,9.375,123900
1997-04-18,9.75,10.0,9.5,80800
1997-04-25,9.375,10.0,9.25,151700
1997-05-02,9.5,9.625,8.5,186600
1997-05-09,8.75,9.625,8.5,204800
1997-05-16,8.875,9.0,8.625,123500
1997-05-23,9.125,9.125,8.75,63100
1997-05-30,9.0,9.25,8.75,101800
1997-06-06,9.5,9.75,9.0,189700
1997-06-13,9.875,10.13,9.125,261300
1997-06-20,10.25,10.63,9.625,223500
1997-06-27,10.0,10.38,9.75,160500
1997-07-04,9.375,10.0,9.375,73200
1997-07-11,9.25,9.375,9.0,99700
1997-07-18,9.188,9.438,9.0,127900
1997-07-25,9.375,10.0,9.063,210300
1997-08-01,9.438,9.813,9.375,429800
1997-08-08,9.313,9.5,8.875,284800
1997-08-15,8.938,9.313,8.813,108400
1997-08-22,8.75,8.938,8.5,121100
1997-08-29,8.625,9.0,8.5,93000
1997-09-05,8.5,8.75,8.25,382400
1997-09-12,9.375,9.5,8.5,280500
1997-09-19,9.125,9.5,9.0,143200
1997-09-26,8.688,9.188,8.563,106300
1997-10-03,10.69,11.0,8.5,1144000
1997-10-10,9.875,10.69,9.688,513200
1997-10-17,9.375,10.31,9.313,430100
1997-10-24,9.938,10.75,9.438,465600
1997-10-31,9.938,10.19,9.0,299800
1997-11-07,9.563,10.19,9.25,181900
1997-11-14,9.438,9.625,9.125,132600
1997-11-21,9.75,10.0,9.25,217800
1997-11-28,9.5,9.875,9.313,121700
1997-12-05,9.375,9.625,9.25,117000
1997-12-12,8.75,9.375,8.625,190800
1997-12-19,8.188,9.0,7.813,264600
1997-12-26,8.125,8.375,8.0,138300
1998-01-02,8.125,8.25,7.813,452200
1998-01-09,8.25,8.625,8.0,268800
1998-01-16,8.0,8.25,7.625,380900
1998-01-23,8.0,8.563,7.938,153800
1998-01-30,7.938,8.125,7.75,145700
1998-02-06,9.0,9.188,7.813,650400
1998-02-13,8.688,9.0,8.5,116200
1998-02-20,8.688,8.938,8.438,297200
1998-02-27,9.375,9.5,8.438,476400
1998-03-06,9.688,9.875,9.0,389800
1998-03-13,9.375,10.0,9.375,362500
1998-03-20,9.125,9.563,8.875,243600
1998-03-27,9.063,9.438,8.938,183500
1998-04-03,11.13,11.63,8.938,812400
1998-04-10,10.81,11.69,10.5,258300
1998-04-17,10.25,10.88,10.0,237700
1998-04-24,10.88,12.44,10.25,747100
1998-05-01,11.5,11.5,10.56,139600
1998-05-08,11.69,11.75,11.25,288500
1998-05-15,11.06,11.94,11.06,93000
1998-05-22,11.31,11.5,10.5,224500
1998-05-29,11.0,11.38,10.69,79000
1998-06-05,10.94,11.19,10.75,134700
1998-06-12,10.44,11.0,10.19,271100
1998-06-19,10.94,11.38,10.56,212600
1998-06-26,11.63,12.13,10.94,277500
1998-07-03,11.44,12.75,11.44,346100
1998-07-10,11.06,11.81,11.0,212500
1998-07-17,11.06,11.44,10.81,147600
1998-07-24,9.875,11.69,9.813,205000
1998-07-31,9.625,9.875,9.063,124900
1998-08-07,8.75,9.25,8.563,226800
1998-08-14,8.375,8.75,8.313,361200
1998-08-21,8.25,8.75,8.25,73000
1998-08-28,6.875,8.5,6.625,242400
1998-09-04,7.0,7.313,6.5,205500
1998-09-11,7.0,7.25,6.875,55800
1998-09-18,7.25,7.625,6.875,142300
1998-09-25,7.375,7.75,7.0,163700
1998-10-02,7.125,7.625,7.063,52300
1998-10-09,7.25,7.25,6.5,286100
1998-10-16,7.375,8.0,7.0,270200
1998-10-23,7.875,8.75,7.375,228600
1998-10-30,8.25,9.0,7.875,170700
1998-11-06,9.0,9.25,8.188,117900
1998-11-13,8.813,9.0,8.5,72800
1998-11-20,8.5,8.875,8.188,96300
1998-11-27,8.563,8.625,8.375,62300
1998-12-04,8.938,9.0,8.375,141200
1998-12-11,8.25,9.0,8.063,91200
1998-12-18,8.25,8.563,8.0,114500
1998-12-25,8.188,8.5,8.0,124000
1999-01-01,8.5,8.688,8.188,238900
1999-01-08,8.063,8.5,7.875,213700
1999-01-15,10.0,10.5,7.5,1998800
1999-01-22,10.63,11.13,8.875,1176100
1999-01-29,9.625,10.69,9.25,904000
1999-02-05,9.438,9.75,8.5,556600
1999-02-12,8.438,9.625,8.438,507500
1999-02-19,8.375,8.75,8.063,219500
1999-02-26,7.625,8.563,7.625,503500
1999-03-05,8.063,8.188,7.688,264100
1999-03-12,7.938,8.25,7.688,184300
1999-03-19,8.563,9.688,7.938,810200
1999-03-26,8.0,8.563,8.0,173800
1999-04-02,7.813,8.25,7.625,366300
1999-04-09,8.063,8.313,7.5,266400
1999-04-16,8.25,8.25,7.5,214700
1999-04-23,7.938,8.625,7.625,302100
1999-04-30,8.5,8.5,7.688,161600
1999-05-07,8.125,8.5,8.0,179100
1999-05-14,7.938,8.188,7.625,353400
1999-05-21,7.938,8.188,7.625,318000
1999-05-28,8.313,8.813,7.688,507800
1999-06-04,7.813,8.375,7.75,204400
1999-06-11,7.75,8.125,7.75,217800
1999-06-18,8.0,8.063,7.563,297600
1999-06-25,7.875,8.063,7.75,188200
1999-07-02,8.125,8.375,7.688,493900
1999-07-09,8.125,8.375,8.0,142100
1999-07-16,9.438,9.438,8.125,460400
1999-07-23,8.875,9.625,8.625,532900
1999-07-30,9.25,9.313,8.625,347200
1999-08-06,8.938,9.25,8.5,123600
1999-08-13,8.688,9.063,8.625,194400
1999-08-20,8.313,8.75,8.125,126800
1999-08-27,7.813,8.375,7.75,144400
1999-09-03,7.938,8.188,7.625,148900
1999-09-10,8.0,8.063,7.563,162000
1999-09-17,7.5,8.0,7.5,169600
1999-09-24,7.875,7.938,7.375,272700
1999-10-01,7.875,8.063,7.688,281000
1999-10-08,8.063,8.25,7.688,543600
1999-10-15,8.375,8.813,7.625,1012300
1999-10-22,8.0,9.25,7.75,1092400
1999-10-29,7.75,8.125,7.625,479300
1999-11-05,7.5,7.75,7.125,511400
1999-11-12,7.313,7.625,7.313,574400
1999-11-19,7.5,7.813,7.375,619600
1999-11-26,7.25,7.625,7.125,302600
1999-12-03,7.188,7.313,7.0,283700
1999-12-10,7.25,7.25,7.0,329000
1999-12-17,7.375,7.563,7.25,411400
1999-12-24,7.063,7.375,7.063,474500
1999-12-31,7.188,7.25,6.938,407000
2000-01-07,7.563,7.625,7.0,485300
2000-01-14,7.5,7.75,7.5,173800
2000-01-21,7.625,8.0,7.5,245700
2000-01-28,7.5,7.688,7.438,379600
2000-02-04,7.563,7.688,7.313,152900
2000-02-11,7.5,7.688,7.313,120900
2000-02-18,7.688,7.938,7.375,351600
2000-02-25,7.25,7.625,7.125,169700
2000-03-03,7.375,7.625,7.063,322000
2000-03-10,7.25,7.438,7.188,144700
2000-03-17,7.438,7.5,7.188,272400
2000-03-24,7.375,7.438,7.25,136400
2000-03-31,7.5,7.563,7.25,118000
2000-04-07,7.938,8.125,7.5,307200
2000-04-14,7.75,8.063,7.75,213200
2000-04-21,7.813,8.313,7.5,272300
2000-04-28,7.875,7.938,7.563,261900
2000-05-05,8.813,8.875,7.75,239400
2000-05-12,8.563,9.0,8.25,292500
2000-05-19,9.0,9.188,8.5,312200
2000-05-26,8.563,9.25,8.5,79900
2000-06-02,8.938,8.938,8.438,114200
2000-06-09,8.5,9.0,8.5,58400
2000-06-16,8.563,8.688,8.0,102500
2000-06-23,8.438,8.625,8.125,112600
2000-06-30,8.563,8.688,8.438,39400
2000-07-07,8.75,8.75,8.5,53900
2000-07-14,8.688,9.188,8.5,126100
2000-07-21,8.688,9.188,8.25,294800
2000-07-28,8.938,9.0,8.688,156200
2000-08-04,8.75,9.0,8.5,93400
2000-08-11,9.188,9.375,8.625,124800
2000-08-18,9.0,9.5,8.875,291500
2000-08-25,9.0,9.125,8.875,133800
2000-09-01,9.25,9.375,9.0,71800
2000-09-08,9.563,9.625,9.188,111900
2000-09-15,9.188,9.688,9.0,264700
2000-09-22,9.063,9.188,9.0,55700
2000-09-29,9.0,9.125,8.875,113100
2000-10-06,8.938,9.063,8.875,152800
2000-10-13,8.813,8.875,8.625,61100
2000-10-20,8.5,9.188,8.5,1019200
2000-10-27,7.563,8.625,7.563,231700
2000-11-03,7.813,8.125,7.5,199900
2000-11-10,8.0,8.0,7.813,28100
2000-11-17,8.25,8.25,7.875,189700
2000-11-24,8.25,8.375,8.063,103600
2000-12-01,8.125,8.188,8.0,108600
2000-12-08,8.25,8.25,8.063,59500
2000-12-15,8.875,8.938,8.125,57800
2000-12-22,9.0,9.25,8.563,142700
2000-12-29,8.813,9.0,8.688,89100
2001-01-05,8.938,9.0,8.688,88900
2001-01-12,9.0,9.25,8.938,262700
2001-01-19,8.875,9.125,8.688,73600
2001-01-26,9.0,9.188,8.813,201700
2001-02-02,9.15,9.15,9.0,69500
2001-02-09,9.13,9.5,9.13,106500
2001-02-16,9.99,9.99,9.11,136900
2001-02-23,9.41,10.45,9.3,213100
2001-03-02,9.85,9.9,9.4,74200
2001-03-09,9.64,10.1,9.4,58900
2001-03-16,9.5,9.6,9.2,82300
2001-03-23,9.25,9.5,9.1,91000
2001-03-30,9.55,9.55,9.15,48600
2001-04-06,8.95,9.55,8.89,152000
2001-04-13,9.0,9.15,8.95,20400
2001-04-20,9.18,9.5,9.0,260600
2001-04-27,9.05,9.15,8.79,168400
2001-05-04,9.19,9.29,9.0,95900
2001-05-11,9.08,9.2,9.0,75800
2001-05-18,9.13,9.17,8.95,65900
2001-05-25,9.78,9.89,9.03,251600
2001-06-01,9.94,10.1,9.66,101400
2001-06-08,9.25,9.6,9.0,165100
2001-06-15,9.2,9.4,9.02,153900
2001-06-22,9.25,9.25,8.9,129800
2001-06-29,8.62,9.55,8.56,421000
2001-07-06,9.59,9.59,8.81,227000
2001-07-13,9.76,9.8,9.5,223300
2001-07-20,10.0,10.31,9.52,337600
2001-07-27,10.43,10.65,10.0,242700
2001-08-03,10.63,10.7,10.4,97500
2001-08-10,10.63,10.65,10.25,94400
2001-08-17,10.6,10.74,10.5,113200
2001-08-24,11.32,11.35,10.6,248900
2001-08-31,11.51,11.74,11.23,157300
2001-09-07,11.55,11.85,11.44,128500
2001-09-14,10.86,11.72,10.81,53900
2001-09-21,9.95,10.45,9.85,302700
2001-09-28,11.76,11.97,9.8,236900
2001-10-05,10.97,11.76,10.85,158300
2001-10-12,10.89,11.48,10.75,172200
2001-10-19,11.14,11.3,10.67,182800
2001-10-26,11.3,11.95,11.2,147000
2001-11-02,11.91,11.97,11.25,94000
2001-11-09,12.99,12.99,11.86,267000
2001-11-16,13.9,14.24,12.78,415700
2001-11-23,13.68,14.05,13.28,128400
2001-11-30,13.8,14.0,13.6,143100
2001-12-07,15.37,15.49,13.57,587800
2001-12-14,13.8,16.29,13.12,560500
2001-12-21,16.52,16.9,14.07,496900
2001-12-28,17.51,18.16,16.32,243700
2002-01-04,15.11,17.94,14.9,395700
2002-01-11,16.15,16.35,14.8,364900
2002-01-18,15.8,16.12,15.35,142500
2002-01-25,15.15,15.5,14.28,230500
2002-02-01,15.88,15.9,14.8,144000
2002-02-08,16.78,17.24,15.42,261100
2002-02-15,16.52,17.01,16.35,97700
2002-02-22,15.44,16.65,14.65,159500
2002-03-01,13.27,15.67,11.82,865400
2002-03-08,14.15,14.5,12.9,326100
2002-03-15,15.01,15.46,14.08,142900
2002-03-22,14.98,15.24,14.45,234000
2002-03-29,15.1,15.12,14.9,167400
2002-04-05,13.48,15.23,13.47,299200
2002-04-12,14.03,14.13,12.8,299200
2002-04-19,14.42,14.82,13.8,279400
2002-04-26,14.1,14.5,14.05,148600
2002-05-03,14.7,14.99,14.01,222500
2002-05-10,15.05,15.2,14.3,185800
2002-05-17,16.55,16.75,15.06,268200
