date,adjClose,adjHigh,adjLow,adjVolume
1994-10-28,8.81,9.06,7.875,7133400
1994-11-04,8.5,8.875,7.94,1324400
1994-11-11,8.5,8.5,8.06,1014400
1994-11-18,9.06,9.06,8.06,876400
1994-11-25,8.06,9.19,7.875,546600
1994-12-02,8.56,8.625,8.0,633400
1994-12-09,8.44,9.69,8.44,1506000
1994-12-16,8.94,9.0,8.375,355200
1994-12-23,9.25,9.31,8.81,292000
1994-12-30,9.81,10.125,9.31,288000
1995-01-06,9.31,9.81,8.81,339000
1995-01-13,9.625,10.125,9.19,395600
1995-01-20,9.625,9.875,9.56,101200
1995-01-27,8.875,9.625,8.875,338600
1995-02-03,9.31,9.5,8.875,741200
1995-02-10,10.0,10.25,9.25,249800
1995-02-17,10.75,11.125,9.875,2093600
1995-02-24,10.125,11.125,9.875,1214200
1995-03-03,10.125,10.25,9.75,215400
1995-03-10,9.5,10.125,9.25,498600
1995-03-17,9.875,10.25,9.25,381600
1995-03-24,10.375,10.625,9.875,268800
1995-03-31,9.875,10.625,8.875,273600
1995-04-07,9.875,10.25,9.875,145800
1995-04-14,9.5,10.06,9.375,189000
1995-04-21,9.625,9.75,8.5,684000
1995-04-28,10.375,10.5,9.375,269400
1995-05-05,9.75,10.375,9.75,81200
1995-05-12,10.125,10.375,9.75,999600
1995-05-19,9.375,10.25,9.375,916200
1995-05-26,10.25,11.125,9.375,1076000
1995-06-02,10.375,10.5,10.0,721400
1995-06-09,11.875,12.375,10.125,949400
1995-06-16,12.0,12.125,11.75,342000
1995-06-23,13.125,13.125,11.75,435800
1995-06-30,12.75,13.25,12.375,539800
1995-07-07,13.5,13.56,12.375,284800
1995-07-14,13.375,13.875,13.125,502400
1995-07-21,13.0,13.375,11.75,531000
1995-07-28,13.5,13.5,12.5,185200
1995-08-04,12.125,13.5,12.125,349000
1995-08-11,13.125,13.25,12.0,380200
1995-08-18,13.25,13.5,12.875,637600
1995-08-25,13.25,13.625,12.875,640800
1995-09-01,13.31,13.625,13.125,309600
1995-09-08,14.5,14.5,13.125,531000
1995-09-15,13.125,14.5,12.94,1131600
1995-09-22,14.19,14.5,12.5,763400
1995-09-29,15.0,15.0,13.875,201800
1995-10-06,13.875,15.0,13.5,271800
1995-10-13,13.75,13.75,12.375,241200
1995-10-20,13.625,14.0,13.25,267600
1995-10-27,13.25,13.625,13.25,216000
1995-11-03,13.75,14.0,13.25,597400
1995-11-10,14.06,14.375,13.75,271200
1995-11-17,14.19,14.25,13.875,172200
1995-11-24,14.125,14.5,13.875,269400
1995-12-01,15.0,15.25,13.875,659200
1995-12-08,15.365,15.625,14.875,469400
1995-12-15,16.25,17.125,15.0,882400
1995-12-22,15.875,16.125,15.25,357600
1995-12-29,16.875,18.5,15.875,424600
1996-01-05,15.94,17.125,15.81,504400
1996-01-12,19.25,20.125,15.75,2401200
1996-01-19,18.405,19.625,18.125,403200
1996-01-26,18.625,20.47,18.125,1309800
1996-02-02,20.0,21.125,18.125,1770200
1996-02-09,20.25,21.125,20.0,548200
1996-02-16,18.56,21.125,18.56,338200
1996-02-23,19.875,20.25,18.125,524400
1996-03-01,19.25,19.875,19.125,611200
1996-03-08,19.69,20.875,19.0,806600
1996-03-15,19.44,19.75,18.875,874400
1996-03-22,19.125,19.44,18.125,744800
1996-03-29,21.5,21.5,18.75,1050800
1996-04-05,23.375,24.25,21.125,1074800
1996-04-12,24.0,24.375,22.25,770000
1996-04-19,26.25,27.0,24.125,1511600
1996-04-26,25.875,26.375,25.25,296400
1996-05-03,26.94,28.0,25.5,1047600
1996-05-10,25.625,27.125,24.75,395800
1996-05-17,27.125,27.625,24.75,669200
1996-05-24,27.875,28.375,27.0,389800
1996-05-31,27.75,28.625,27.125,218800
1996-06-07,25.5,27.75,24.5,337400
1996-06-14,27.75,28.5,24.875,2596000
1996-06-21,25.375,28.5,24.125,1176200
1996-06-28,27.5,28.375,25.375,615400
1996-07-05,27.25,28.56,26.625,829000
1996-07-12,25.875,28.25,25.625,1324200
1996-07-19,25.25,26.875,20.0,1866800
1996-07-26,28.625,29.5,24.875,1518800
1996-08-02,29.81,30.125,27.0,678200
1996-08-09,31.0,31.25,29.0,784200
1996-08-16,31.0,32.125,29.625,548400
1996-08-23,33.75,34.25,31.0,796800
1996-08-30,34.625,35.625,33.0,849600
1996-09-06,33.75,34.375,32.625,585800
1996-09-13,36.0,36.125,33.875,770400
1996-09-20,33.69,36.375,33.5,692000
1996-09-27,34.75,35.125,32.75,450600
1996-10-04,35.5,36.0,32.5,557000
1996-10-11,35.125,38.75,34.5,986400
1996-10-18,33.875,36.125,33.25,598600
1996-10-25,34.125,34.125,29.625,1970600
1996-11-01,33.25,34.25,31.125,745000
1996-11-08,36.06,36.125,32.375,813600
1996-11-15,36.875,37.625,35.75,777000
1996-11-22,37.875,38.0,36.0,693000
1996-11-29,41.69,42.5,37.5,764800
1996-12-06,38.5,41.625,37.875,963600
1996-12-13,40.19,42.375,38.5,995800
1996-12-20,38.875,40.625,38.5,722600
1996-12-27,38.0,38.625,37.875,201800
1997-01-03,38.0,40.375,37.625,855400
1997-01-10,40.75,41.0,37.75,712600
1997-01-17,37.94,40.75,37.875,563800
1997-01-24,37.625,40.125,36.375,1474200
1997-01-31,37.125,38.25,35.25,937000
1997-02-07,34.875,37.25,32.5,1343600
1997-02-14,35.25,36.5,33.5,991000
1997-02-21,34.0,35.94,33.875,252400
1997-02-28,30.81,34.75,30.625,1017400
1997-03-07,36.0,36.25,30.38,841000
1997-03-14,31.62,35.75,29.62,740200
1997-03-21,29.25,31.25,25.75,1588800
1997-03-28,28.75,29.75,26.5,536600
1997-04-04,29.5,30.75,24.75,659700
1997-04-11,27.75,31.0,27.0,339800
1997-04-18,28.25,29.0,26.75,378200
1997-04-25,28.0,30.0,25.88,469300
1997-05-02,33.12,33.5,27.5,1002800
1997-05-09,34.98,37.0,32.25,1190100
1997-05-16,33.25,35.75,32.75,335800
1997-05-23,34.88,35.25,31.25,632500
1997-05-30,38.25,39.0,34.5,934800
1997-06-06,38.12,39.62,36.5,530400
1997-06-13,37.0,38.75,35.25,293400
1997-06-20,35.5,38.0,35.5,436500
1997-06-27,37.0,37.25,32.5,989500
1997-07-04,36.25,37.75,35.5,435300
1997-07-11,40.0,40.62,35.75,766500
1997-07-18,41.75,44.0,40.0,915600
1997-07-25,39.25,46.25,39.25,1064100
1997-08-01,41.5,43.5,39.0,548100
1997-08-08,40.0,43.25,40.0,459800
1997-08-15,35.0,40.75,33.5,2058800
1997-08-22,35.5,36.5,32.75,1973200
1997-08-29,34.12,35.75,31.62,822600
1997-09-05,33.25,35.5,31.75,2349100
1997-09-12,32.75,35.0,29.5,1693300
1997-09-19,33.0,34.5,31.12,1617000
1997-09-26,35.0,35.62,32.75,1316200
1997-10-03,34.5,35.62,33.75,1720700
1997-10-10,38.38,38.88,34.25,1588600
1997-10-17,36.5,39.88,35.5,865100
1997-10-24,34.62,37.88,33.0,796400
1997-10-31,37.62,37.88,30.0,2157700
1997-11-07,37.0,39.5,36.75,592600
1997-11-14,36.62,38.75,36.25,1246900
1997-11-21,37.81,38.75,35.88,1010500
1997-11-28,38.12,38.25,36.0,338500
1997-12-05,38.5,38.75,36.75,460700
1997-12-12,34.31,39.0,34.31,961800
1997-12-19,29.25,35.0,27.88,2051400
1997-12-26,32.0,32.62,28.5,922300
1998-01-02,33.5,35.5,31.75,655100
1998-01-09,29.75,33.5,28.5,778300
1998-01-16,31.38,32.0,28.5,715900
1998-01-23,29.0,32.38,28.5,749600
1998-01-30,35.81,37.0,23.5,4088000
1998-02-06,36.88,37.88,35.38,904000
1998-02-13,38.88,39.12,36.62,879900
1998-02-20,43.31,43.38,35.5,1483400
1998-02-27,39.75,42.75,39.0,1033000
1998-03-06,36.69,40.06,35.0,926800
1998-03-13,38.38,39.0,36.0,919100
1998-03-20,41.81,43.12,38.75,1152600
1998-03-27,41.0,42.75,40.0,1095600
1998-04-03,41.88,43.12,40.25,651700
1998-04-10,41.0,41.62,37.75,569600
1998-04-17,40.25,43.12,40.0,728300
1998-04-24,44.88,45.94,39.75,1517900
1998-05-01,48.75,50.88,41.75,2357900
1998-05-08,50.19,53.12,48.62,1278600
1998-05-15,49.38,50.5,46.75,757900
1998-05-22,45.0,49.75,42.88,677300
1998-05-29,44.53,46.88,41.88,673200
1998-06-05,47.62,47.75,42.5,782500
1998-06-12,43.0,47.88,40.38,1972500
1998-06-19,46.12,46.38,40.75,552500
1998-06-26,49.62,51.25,45.75,1190100
1998-07-03,50.75,52.62,49.25,777700
1998-07-10,54.38,56.12,50.0,1994400
1998-07-17,54.75,56.19,52.5,1040600
1998-07-24,47.12,56.88,46.5,1193000
1998-07-31,26.5,48.38,26.25,9595900
1998-08-07,25.75,27.0,23.62,1129000
1998-08-14,28.75,30.19,24.88,2022900
1998-08-21,28.88,31.0,28.19,1549500
1998-08-28,24.28,29.25,23.88,1000500
1998-09-04,25.31,25.5,18.5,2376400
1998-09-11,25.69,26.5,24.5,882200
1998-09-18,25.19,28.0,22.44,1295200
1998-09-25,26.12,26.38,23.31,708200
1998-10-02,14.81,26.75,12.0,2513300
